,Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),No of Floors,Waterfront View,Condition of the House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Purchase Year,Year Since Renovation
79,1,4,2.5,3450.0,2.0,0,1,10,3450.0,0,16,3350.0,39750,2016,0
80,0,3,2.5,2350.0,2.0,0,1,8,2350.0,0,15,2350.0,5363,2017,0
81,0,4,2.5,1900.0,2.0,0,1,7,1900.0,0,26,1870.0,6405,2017,0
82,0,2,1.0,2020.0,1.0,0,1,7,1010.0,1010,70,1720.0,6720,2017,0
83,0,3,1.5,1680.0,1.0,0,1,8,1680.0,0,54,1850.0,8797,2016,0
84,0,3,1.0,960.0,1.0,0,1,6,960.0,0,66,1570.0,7203,2017,0
85,1,3,1.5,2140.0,2.0,0,1,9,1900.0,240,93,2020.0,4800,2017,0
86,0,5,2.25,2660.0,1.5,0,4,7,2660.0,0,57,1590.0,8165,2017,0
87,0,3,3.25,2770.0,2.0,0,1,9,1980.0,790,12,1900.0,7349,2017,0
88,0,2,2.25,1610.0,2.0,0,3,7,1610.0,0,39,1950.0,2025,2017,0
89,0,2,1.75,1030.0,2.0,0,1,7,765.0,265,12,1030.0,1106,2017,0
91,1,5,2.75,3520.0,2.0,0,3,10,3520.0,0,17,2520.0,6250,2016,0
92,0,3,1.0,1200.0,1.0,0,1,7,1200.0,0,56,1350.0,10500,2016,0
93,0,3,1.5,1580.0,1.0,0,1,8,1290.0,290,79,1570.0,4500,2017,0
94,1,3,1.5,1580.0,1.0,0,1,8,1290.0,290,79,1570.0,4500,2017,0
95,1,4,2.5,3300.0,1.0,0,1,7,2390.0,910,72,1950.0,6045,2017,26
96,0,3,1.75,1960.0,1.0,0,1,7,1960.0,0,51,1750.0,15616,2016,0
97,0,4,1.5,1160.0,1.0,0,3,7,1160.0,0,43,1160.0,6400,2017,0
98,0,3,1.75,1810.0,1.0,0,4,7,1210.0,600,38,1650.0,135036,2017,0
99,0,3,2.5,2320.0,2.0,0,1,9,2320.0,0,26,2550.0,35065,2017,0
100,1,3,2.5,2070.0,1.5,0,4,9,1270.0,800,108,2200.0,4500,2017,0
101,1,3,2.0,1980.0,1.5,0,3,7,1440.0,540,89,1610.0,3478,2017,0
102,1,3,2.25,2190.0,2.0,0,3,8,2190.0,0,35,2570.0,47777,2017,0
103,1,3,2.5,2920.0,2.0,0,1,8,2920.0,0,68,2370.0,8113,2017,7
104,0,3,1.0,1210.0,1.0,0,1,7,1210.0,0,64,1640.0,14910,2017,0
105,0,3,2.5,2340.0,1.0,0,3,8,1460.0,880,40,2250.0,8162,2016,0
106,0,3,1.0,1670.0,1.5,0,3,7,1170.0,500,79,1240.0,4005,2017,0
107,0,2,1.75,1240.0,1.0,0,3,8,1240.0,0,33,1270.0,4966,2017,0
108,1,4,2.5,3140.0,2.0,0,3,10,3140.0,0,27,2990.0,35001,2016,0
109,0,5,1.75,2030.0,2.0,0,3,7,2030.0,0,76,2500.0,9433,2017,0
110,1,4,2.5,2310.0,2.0,0,1,8,2310.0,0,34,1940.0,9636,2017,0
111,1,3,1.75,1260.0,1.0,0,4,6,700.0,560,113,1380.0,3536,2016,0
112,0,3,1.75,1540.0,1.0,0,3,7,1160.0,380,38,1540.0,11656,2017,0
113,0,3,1.75,2080.0,1.0,0,1,7,1080.0,1000,47,2090.0,5500,2017,0
114,0,4,2.5,3230.0,2.0,0,1,9,2520.0,710,17,2640.0,8517,2017,0
115,1,3,3.5,4380.0,2.0,0,1,8,2780.0,1600,118,1830.0,6350,2017,18
116,1,3,3.5,1590.0,3.0,0,1,8,1590.0,0,8,1620.0,3166,2017,0
117,0,2,1.0,880.0,1.0,0,3,6,880.0,0,73,1190.0,6780,2017,0
118,0,4,2.0,1570.0,1.0,0,1,6,1570.0,0,68,1880.0,9000,2016,0
119,1,4,1.0,1610.0,1.5,0,3,7,1610.0,0,93,1610.0,4040,2016,0
120,1,3,2.5,2400.0,1.0,0,1,8,1560.0,840,54,2340.0,10856,2016,0
121,0,3,2.0,1450.0,1.0,0,1,7,1450.0,0,31,1580.0,9104,2017,0
122,0,2,1.0,770.0,1.0,0,1,6,770.0,0,65,1710.0,6000,2016,0
123,0,4,1.75,2100.0,1.5,0,4,7,1720.0,380,94,1850.0,4400,2017,0
124,1,3,2.25,2910.0,2.0,0,1,9,2910.0,0,28,2700.0,13992,2017,0
125,1,4,2.75,2750.0,1.5,0,1,8,1980.0,770,104,3060.0,11275,2016,24
126,0,3,2.25,2100.0,1.0,0,1,8,1620.0,480,51,2660.0,8712,2017,0
127,0,4,2.25,2160.0,1.0,0,1,8,1360.0,800,40,2090.0,8400,2017,0
128,1,5,3.5,2320.0,2.0,0,4,7,1720.0,600,92,1700.0,4960,2017,0
129,0,4,2.5,2070.0,2.0,0,1,7,2070.0,0,14,1970.0,3748,2016,0
130,0,3,1.75,1060.0,1.0,0,3,7,1060.0,0,32,1420.0,7680,2016,0
131,1,4,2.25,2010.0,1.0,0,1,8,1440.0,570,32,2060.0,9793,2016,0
132,1,3,3.5,3950.0,1.5,0,1,9,2460.0,1490,29,2480.0,88500,2017,0
133,0,3,2.5,2010.0,2.0,0,1,8,1390.0,620,4,1690.0,1662,2017,0
134,1,4,3.5,2140.0,3.0,0,1,9,2140.0,0,13,1540.0,2285,2016,0
135,0,3,1.75,1320.0,1.0,0,3,7,1320.0,0,62,1550.0,19265,2017,0
136,0,4,1.75,2020.0,1.0,0,1,7,1010.0,1010,50,1750.0,8140,2017,0
137,0,4,2.25,2590.0,1.0,0,3,8,1340.0,1250,50,1550.0,10436,2017,0
138,0,2,1.0,1190.0,1.0,0,1,6,1190.0,0,37,1060.0,5715,2017,0
139,1,3,2.25,1170.0,3.0,0,1,8,1170.0,0,4,1350.0,1310,2017,0
140,1,2,1.0,1110.0,1.0,0,1,7,1110.0,0,93,1170.0,3600,2017,0
141,1,5,2.5,2820.0,1.0,0,3,8,1550.0,1270,50,2820.0,9375,2017,0
142,0,3,1.0,1610.0,1.0,0,3,7,1010.0,600,56,1610.0,8579,2016,0
143,0,3,1.0,1060.0,1.0,0,3,7,940.0,120,95,1560.0,7940,2016,0
144,0,4,2.25,2030.0,1.0,0,3,8,1380.0,650,57,2230.0,8824,2016,0
145,1,4,2.5,3670.0,2.0,0,3,9,3670.0,0,24,2840.0,87991,2017,0
146,1,4,1.0,2550.0,2.0,0,1,8,2370.0,180,113,2200.0,4000,2017,0
147,0,2,2.5,2420.0,2.0,0,1,7,2420.0,0,11,1940.0,193842,2017,0
148,0,5,2.0,2260.0,1.0,0,3,8,1130.0,1130,58,1360.0,18000,2017,0
149,0,3,1.0,1430.0,1.0,0,1,7,980.0,450,71,1450.0,4599,2017,0
150,1,3,2.0,1360.0,2.0,0,1,8,1360.0,0,28,1500.0,3090,2017,0
151,1,3,1.0,1110.0,1.5,0,1,7,1110.0,0,71,1420.0,5000,2016,0
152,0,3,1.0,1250.0,1.0,0,3,7,1250.0,0,64,1680.0,8633,2016,0
153,1,4,3.25,5180.0,2.0,0,1,10,3540.0,1640,12,3160.0,9750,2016,0
154,0,1,1.0,700.0,1.0,0,1,7,700.0,0,76,1010.0,5100,2017,0
155,0,3,1.0,1180.0,1.0,0,3,7,1180.0,0,51,1190.0,7669,2017,0
156,1,5,3.5,3960.0,2.0,0,1,9,2500.0,1460,22,2640.0,13675,2017,0
157,0,4,2.75,2640.0,1.0,0,1,8,1620.0,1020,51,1980.0,7875,2017,0
158,0,3,2.0,1270.0,1.5,0,1,7,1270.0,0,102,1160.0,7198,2017,4
159,0,4,1.75,1760.0,1.0,0,3,8,1760.0,0,50,1730.0,11180,2017,0
160,0,5,2.25,2060.0,1.0,0,1,7,1030.0,1030,56,1010.0,11680,2017,0
161,0,3,1.75,1780.0,1.0,0,1,7,1780.0,0,56,1200.0,9660,2016,0
162,1,3,2.5,3400.0,2.0,0,1,10,3400.0,0,18,3400.0,12601,2016,0
163,0,3,2.75,1910.0,1.0,0,1,7,1160.0,750,39,1710.0,8152,2017,0
164,0,3,2.0,2020.0,1.0,0,3,7,1010.0,1010,43,2110.0,36590,2017,0
165,0,3,1.75,1580.0,1.0,0,1,7,1180.0,400,42,1640.0,7500,2017,0
166,0,2,1.75,1340.0,1.0,0,4,5,700.0,640,69,1830.0,9750,2016,0
167,1,4,2.5,2680.0,2.0,0,1,9,2680.0,0,19,2920.0,4500,2016,0
169,0,3,2.0,1370.0,1.0,0,4,7,1370.0,0,54,1770.0,7288,2017,0
170,0,3,1.75,1560.0,1.0,0,1,7,1560.0,0,64,1070.0,7920,2016,0
171,0,3,1.75,2160.0,1.0,0,3,7,1670.0,490,40,1930.0,7350,2016,0
172,0,3,1.5,1340.0,1.5,0,1,7,1340.0,0,63,1480.0,7940,2017,0
173,1,4,2.5,3880.0,2.0,0,1,10,2570.0,1310,34,3740.0,35230,2016,0
174,1,4,2.25,2590.0,2.0,0,3,8,2590.0,0,38,2260.0,8335,2017,0
175,0,3,2.5,1120.0,2.0,0,1,8,820.0,300,10,1590.0,1795,2016,0
176,0,5,2.75,1970.0,1.0,0,1,7,1320.0,650,32,1280.0,2150,2017,0
177,0,3,1.0,1220.0,1.0,0,1,6,1220.0,0,117,1200.0,4800,2017,0
178,0,3,1.5,1950.0,1.0,0,3,7,1320.0,630,43,1950.0,8941,2017,0
179,0,2,1.0,1350.0,1.0,0,1,7,1060.0,290,69,1540.0,8280,2016,0
180,0,3,2.5,1670.0,2.0,0,1,7,1670.0,0,30,1670.0,6183,2017,0
181,0,4,3.0,2380.0,1.5,0,3,7,1680.0,700,93,1410.0,5375,2016,0
182,1,4,3.0,2440.0,2.0,0,4,7,2440.0,0,57,2290.0,9600,2017,0
183,0,2,1.5,1050.0,2.0,0,1,7,1050.0,0,22,1050.0,3417,2017,0
184,1,4,2.75,3130.0,2.0,0,1,9,2140.0,990,25,2260.0,9984,2017,0
185,1,5,3.0,4090.0,1.0,0,3,10,2090.0,2000,32,2540.0,10270,2017,0
186,0,4,1.75,1490.0,1.0,0,3,8,1100.0,390,49,2190.0,8910,2016,0
187,1,3,2.5,1900.0,2.0,0,1,8,1900.0,0,31,2030.0,8744,2017,0
188,1,4,1.0,1330.0,1.5,0,3,6,1330.0,0,117,1330.0,4400,2016,0
189,1,3,2.25,2230.0,1.0,0,1,8,1430.0,800,43,2230.0,9340,2017,0
190,0,3,1.75,1650.0,1.0,0,1,7,1220.0,430,41,1540.0,8400,2017,0
191,0,3,1.0,1190.0,1.0,0,1,6,1190.0,0,59,1230.0,7980,2017,0
192,1,3,2.5,2140.0,1.0,0,3,8,2140.0,0,59,2680.0,10083,2017,0
193,0,3,2.5,2180.0,1.0,0,3,7,1420.0,760,56,1900.0,7818,2017,0
194,0,3,1.0,1060.0,1.0,0,1,7,1060.0,0,70,1570.0,10228,2017,0
195,0,3,2.5,1690.0,2.0,0,1,8,1690.0,0,15,2550.0,5001,2017,0
196,0,4,2.0,1970.0,1.5,0,4,7,1130.0,840,98,1500.0,6480,2017,0
197,0,3,2.5,2150.0,2.0,0,1,8,2150.0,0,11,1750.0,2385,2017,0
198,0,3,2.5,1910.0,2.0,0,1,7,1910.0,0,21,2330.0,67268,2016,0
199,0,3,1.75,1350.0,1.0,0,3,7,1350.0,0,49,1560.0,50965,2017,0
200,0,3,1.0,860.0,1.0,0,3,6,860.0,0,75,1300.0,9514,2016,0
201,0,3,2.5,1940.0,2.0,0,1,8,1940.0,0,24,2030.0,10450,2017,0
202,0,3,1.0,1010.0,1.0,0,1,7,1010.0,0,66,1680.0,5000,2017,0
203,0,3,1.5,1300.0,1.0,0,3,7,900.0,400,42,1430.0,7500,2017,0
204,0,3,1.0,910.0,1.0,0,3,6,910.0,0,56,1400.0,8040,2016,0
205,1,4,1.75,2480.0,1.0,0,3,9,1630.0,850,52,2770.0,10744,2017,0
206,1,3,2.5,2440.0,2.0,0,1,8,2440.0,0,8,2750.0,4587,2017,0
207,0,3,1.0,1010.0,1.0,0,1,7,1010.0,0,103,1290.0,5000,2016,0
208,0,2,0.75,900.0,1.0,0,1,6,900.0,0,77,1250.0,14280,2017,0
209,0,6,3.0,2300.0,2.0,0,1,7,1600.0,700,98,1560.0,1312,2017,23
210,0,4,2.25,1550.0,2.0,0,1,8,1550.0,0,25,1630.0,6397,2016,0
211,1,3,2.25,1270.0,2.0,0,1,8,1060.0,210,4,1160.0,1327,2017,0
212,1,4,2.5,2240.0,1.0,0,1,9,2240.0,0,35,2520.0,12368,2017,0
213,0,3,2.5,2714.0,2.0,0,1,9,2714.0,0,13,2590.0,18386,2016,0
214,0,4,2.75,1720.0,2.0,0,1,8,1720.0,0,40,2130.0,8700,2017,0
215,0,2,1.0,850.0,1.0,0,1,6,850.0,0,95,1100.0,14459,2016,0
216,1,5,3.0,3300.0,1.0,0,1,9,1870.0,1430,61,3836.0,20953,2016,25
217,0,3,2.5,2250.0,2.0,0,1,8,2250.0,0,18,1320.0,5390,2017,0
218,1,2,2.25,3900.0,1.0,0,1,8,1950.0,1950,71,2580.0,5184,2017,0
219,0,2,1.5,1320.0,1.0,0,3,8,1320.0,0,71,2120.0,12040,2017,0
220,1,4,2.5,2760.0,2.0,0,1,10,2760.0,0,19,3070.0,8127,2017,0
221,0,3,2.0,1750.0,1.0,0,1,7,1350.0,400,57,1900.0,10125,2017,0
222,1,4,2.25,2330.0,2.0,0,1,8,2330.0,0,31,1910.0,10055,2017,0
223,0,3,2.25,2220.0,1.0,0,3,8,1780.0,440,52,2080.0,9583,2017,0
224,0,3,2.25,2020.0,2.0,0,1,7,2020.0,0,24,2020.0,8031,2017,0
225,0,3,2.25,1250.0,1.0,0,4,7,1250.0,0,76,1280.0,7392,2017,0
226,0,2,2.0,1510.0,1.0,0,1,8,1510.0,0,13,1640.0,6009,2016,0
227,0,4,2.25,1720.0,1.0,0,3,7,1120.0,600,40,1510.0,9753,2017,0
228,0,3,1.0,1430.0,1.0,0,3,7,980.0,450,57,1960.0,13068,2016,0
229,1,3,2.5,1480.0,2.0,0,1,7,1480.0,0,14,2250.0,4729,2016,0
230,1,2,1.75,1450.0,2.0,1,1,7,1230.0,220,103,2030.0,13193,2016,38
231,0,4,2.75,2280.0,1.0,0,4,7,2280.0,0,58,2280.0,15347,2017,0
232,0,6,2.75,2940.0,1.0,0,1,8,1780.0,1160,40,2120.0,8236,2017,0
233,0,2,1.0,1000.0,1.0,0,1,6,1000.0,0,57,1150.0,13702,2017,0
234,0,3,1.5,2480.0,1.5,0,4,7,1620.0,860,71,2090.0,4800,2017,0
235,1,5,4.0,3760.0,2.0,0,1,10,3760.0,0,35,3430.0,35096,2017,0
236,0,3,2.0,2220.0,1.0,0,4,7,1640.0,580,42,2070.0,80100,2016,0
237,0,4,1.0,1970.0,1.5,0,1,7,1670.0,300,114,1510.0,4740,2016,11
238,1,3,3.5,3830.0,2.0,0,1,10,3530.0,300,25,2920.0,148539,2017,0
239,0,6,2.5,4410.0,1.0,0,3,9,2350.0,2060,53,2600.0,13988,2017,0
240,0,3,1.75,1430.0,1.0,0,3,7,1430.0,0,50,1190.0,8640,2017,0
241,0,2,1.0,830.0,1.0,0,1,6,830.0,0,78,830.0,4960,2017,0
242,0,2,1.0,1430.0,1.5,0,2,7,1430.0,0,93,1450.0,3750,2016,0
243,0,3,1.0,1300.0,1.0,0,3,6,1300.0,0,64,1260.0,8316,2016,0
244,0,2,1.0,1030.0,1.0,0,3,7,790.0,240,100,1390.0,3060,2017,0
245,0,3,2.5,2740.0,2.0,0,1,9,2740.0,0,28,2570.0,10377,2016,0
246,1,4,2.5,3650.0,1.0,1,1,9,1830.0,1820,18,3120.0,18841,2017,0
247,0,2,1.5,720.0,1.0,0,1,6,720.0,0,64,1150.0,2566,2016,0
248,0,4,2.0,2010.0,1.0,0,3,7,2010.0,0,42,2010.0,7650,2016,0
249,0,3,1.75,,1.0,0,3,6,770.0,790,100,1390.0,3000,2016,0
250,0,3,2.0,1810.0,1.0,0,3,7,1240.0,570,40,1750.0,7209,2017,0
251,0,4,2.5,3360.0,2.0,0,1,9,3360.0,0,17,3060.0,6567,2017,0
252,0,3,2.25,1510.0,2.0,0,1,8,1510.0,0,27,1730.0,36224,2016,0
253,0,3,1.0,1400.0,1.0,0,1,7,800.0,600,65,1620.0,6331,2016,0
254,0,3,2.5,1730.0,2.0,0,1,7,1730.0,0,31,1630.0,6458,2017,0
255,1,2,2.0,1420.0,1.5,0,4,7,1420.0,0,90,1420.0,6816,2017,0
256,0,4,1.75,2360.0,1.0,0,3,7,1180.0,1180,63,1910.0,7620,2017,0
257,0,3,1.75,1580.0,1.0,0,3,7,1200.0,380,44,1550.0,10650,2016,0
258,0,3,1.0,1230.0,1.0,0,1,7,1230.0,0,39,1380.0,10098,2017,0
259,1,4,2.5,2460.0,2.0,0,1,8,2460.0,0,12,2990.0,5659,2017,0
260,1,3,1.0,1660.0,1.5,0,1,8,1460.0,200,107,1660.0,4400,2017,0
261,0,3,1.75,1270.0,1.0,0,3,7,1270.0,0,58,1600.0,8470,2017,0
262,1,3,2.25,2100.0,2.0,0,1,10,1320.0,780,39,2380.0,33450,2017,0
263,0,2,1.0,770.0,1.0,0,1,5,770.0,0,88,1330.0,2580,2016,0
264,0,1,0.75,760.0,1.0,1,4,5,760.0,0,82,1230.0,14267,2017,0
265,0,4,2.5,1700.0,2.0,0,3,7,1700.0,0,30,1950.0,7475,2017,0
266,0,3,1.0,1120.0,1.0,0,1,7,1120.0,0,64,1130.0,6350,2017,0
267,0,2,1.0,1070.0,1.0,0,1,7,1070.0,0,81,1320.0,4465,2017,0
268,0,3,2.5,2070.0,1.0,0,1,8,1420.0,650,39,2070.0,8250,2016,0
269,1,4,3.25,5050.0,1.5,0,1,10,4750.0,300,36,3890.0,20060,2016,8
270,1,4,4.75,5310.0,2.0,0,3,10,5310.0,0,29,4180.0,47443,2017,0
271,0,2,1.0,1040.0,1.0,0,3,7,1040.0,0,79,1440.0,7530,2016,0
272,0,3,1.0,1700.0,1.0,0,3,7,1700.0,0,51,1350.0,8164,2017,0
273,0,3,1.0,1300.0,1.0,0,1,7,1300.0,0,57,1320.0,7619,2017,0
274,0,3,1.75,1080.0,1.0,0,1,7,580.0,500,64,1440.0,2225,2017,14
275,0,3,2.5,,2.0,0,1,8,2653.0,0,12,2653.0,4927,2016,0
276,0,3,2.0,2290.0,1.0,0,4,8,2290.0,0,58,1660.0,10530,2016,0
277,1,4,2.75,3820.0,2.0,0,1,9,2850.0,970,4,1860.0,12136,2017,0
278,0,4,2.5,2210.0,1.0,0,1,8,2210.0,0,21,2670.0,49385,2016,0
279,0,3,1.75,2390.0,1.0,0,1,6,1240.0,1150,110,2020.0,6000,2016,0
280,0,4,1.75,2600.0,1.0,0,3,7,1610.0,990,49,1720.0,11088,2017,0
281,0,2,1.0,860.0,1.0,0,1,6,860.0,0,87,1650.0,8775,2016,0
282,1,5,3.0,3830.0,2.0,0,4,9,2630.0,1200,113,3050.0,7556,2016,22
283,1,4,2.5,3500.0,2.0,0,1,9,3500.0,0,13,3920.0,7864,2017,0
284,0,3,3.0,2420.0,1.0,0,3,8,1740.0,680,30,2570.0,13300,2016,0
285,0,4,2.5,2720.0,2.0,0,1,9,2720.0,0,26,2410.0,8100,2017,0
286,0,5,2.25,2500.0,1.0,0,1,7,1850.0,650,39,2300.0,9750,2017,0
287,0,3,1.75,1670.0,1.0,0,1,7,1140.0,530,38,1670.0,7320,2016,0
288,1,5,2.25,2900.0,1.0,0,1,8,1450.0,1450,33,2310.0,10300,2017,0
289,0,2,1.0,1640.0,1.0,0,3,7,1140.0,500,64,1520.0,13527,2017,0
290,0,4,2.5,1890.0,2.0,0,3,7,1890.0,0,50,2410.0,15256,2017,0
291,1,4,1.75,2950.0,1.0,0,3,8,1780.0,1170,43,2120.0,9600,2016,0
292,0,4,2.5,2160.0,2.0,0,1,9,2160.0,0,26,2280.0,9937,2017,0
293,1,4,3.0,3280.0,2.0,0,1,8,2270.0,1010,32,2320.0,11004,2017,0
